City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kawalu,-7.3817,108.2082,76.41,86.0,73.0,5.79,ID,1627806415.0
Birjand,32.8663,59.2211,90.07,9.0,0.0,9.22,IR,1627806415.0
Kirakira,-10.4544,161.9205,76.12,79.0,100.0,5.95,SB,1627806416.0
Rivne,50.6231,26.2274,77.85,68.0,0.0,0.0,UA,1627806416.0
Mormugao,15.4,73.8,83.46,89.0,40.0,13.8,IN,1627806416.0
Kumluca,36.3703,30.2869,95.5,33.0,0.0,2.3,TR,1627806416.0
Gazi,35.3253,25.0669,98.06,54.0,0.0,1.01,GR,1627806416.0
Policoro,40.2115,16.6726,98.62,31.0,23.0,1.01,IT,1627806416.0
Te Anau,-45.4167,167.7167,44.67,93.0,41.0,0.92,NZ,1627806416.0
Kavieng,-2.5744,150.7967,82.6,73.0,5.0,4.81,PG,1627806159.0
Kayerkan,69.3497,87.7602,52.77,85.0,100.0,11.14,RU,1627806416.0
Bethel,41.3712,-73.414,61.48,91.0,1.0,0.0,US,1627806416.0
Los Llanos de Aridane,28.6585,-17.9182,68.13,86.0,40.0,19.57,ES,1627806416.0
Norman Wells,65.282,-126.8329,57.24,82.0,40.0,0.0,CA,1627806417.0
Tromsø,69.6496,18.957,48.85,66.0,75.0,4.61,NO,1627806417.0
Kontagora,10.3999,5.4695,76.06,85.0,89.0,6.71,NG,1627806417.0
Illescas,40.1221,-3.847,65.91,41.0,22.0,3.78,ES,1627806417.0
Loreto,22.2667,-101.9667,60.24,69.0,43.0,3.8,MX,1627806417.0
Nioro,13.35,-15.75,76.91,88.0,100.0,2.77,GM,1627806417.0
Makaha,21.4694,-158.2175,78.71,69.0,1.0,12.66,US,1627806417.0
Karonga,-9.9333,33.9333,75.25,55.0,20.0,13.65,MW,1627806417.0
Almeria,37.1667,-2.3333,71.13,34.0,100.0,3.38,ES,1627806336.0
Rheinbach,50.6256,6.9491,66.94,67.0,75.0,5.68,DE,1627806417.0
Manche,49.0,-1.1667,60.21,78.0,56.0,8.28,FR,1627806418.0
Castro Urdiales,43.3829,-3.2204,64.4,73.0,45.0,6.82,ES,1627806418.0
Graaff-Reinet,-32.2522,24.5308,73.92,18.0,60.0,17.83,ZA,1627806418.0
Alofi,-19.0595,-169.9187,75.09,100.0,57.0,8.05,NU,1627806418.0
Varnavino,57.4035,45.0916,76.78,42.0,83.0,10.31,RU,1627806418.0
Edson,53.5835,-116.4356,59.14,100.0,1.0,2.3,CA,1627806418.0
Camaná,-16.6228,-72.7111,60.76,86.0,99.0,8.46,PE,1627806418.0
Verkhoyansk,67.5447,133.385,71.87,33.0,2.0,12.55,RU,1627806418.0
Garoowe,8.4054,48.4845,88.03,28.0,95.0,30.49,SO,1627806418.0
Coquimbo,-29.9533,-71.3436,47.93,87.0,0.0,6.91,CL,1627806418.0
Ystad,55.4297,13.8204,69.06,56.0,62.0,17.92,SE,1627806377.0
Vila Velha,-20.3297,-40.2925,70.97,78.0,75.0,3.44,BR,1627806419.0
Chino Valley,34.7575,-112.4538,71.91,86.0,1.0,1.01,US,1627806419.0
Maniitsoq,65.4167,-52.9,49.39,70.0,24.0,9.51,GL,1627806419.0
Codrington,-38.2667,141.9667,46.94,91.0,60.0,7.58,AU,1627806419.0
Aykhal,66.0,111.5,78.87,26.0,0.0,5.19,RU,1627806419.0
Lata,40.1629,-8.3327,66.04,67.0,24.0,2.8,PT,1627806419.0
Hushitai,41.9322,123.5114,74.95,75.0,61.0,11.63,CN,1627806419.0
North Bend,43.4065,-124.2243,61.25,100.0,90.0,11.5,US,1627806419.0
Calabozo,8.9242,-67.4293,71.4,97.0,100.0,2.51,VE,1627806419.0
Kysyl-Syr,63.8986,122.7617,86.61,24.0,1.0,4.12,RU,1627806419.0
Valera,9.3178,-70.6036,71.4,72.0,8.0,6.08,VE,1627806419.0
Diffa,13.3154,12.6113,84.63,58.0,99.0,13.89,NE,1627806420.0
Mahébourg,-20.4081,57.7,75.49,60.0,75.0,18.41,MU,1627806420.0
Ubari,26.5921,12.7805,94.57,13.0,0.0,10.04,LY,1627806420.0
Quang Ngai,15.1167,108.8,91.71,56.0,100.0,8.55,VN,1627806420.0
Sol'-Iletsk,51.1631,54.9918,94.73,24.0,57.0,12.95,RU,1627806420.0
Kenai,60.5544,-151.2583,55.02,92.0,1.0,8.05,US,1627806420.0
Pisco,-13.7,-76.2167,62.65,82.0,90.0,4.61,PE,1627806420.0
Ola,59.5833,151.2833,59.16,74.0,46.0,9.46,RU,1627806420.0
Abu Samrah,35.3029,37.1841,94.55,21.0,0.0,9.35,SY,1627806420.0
San Rafael del Sur,11.8485,-86.4384,76.17,74.0,98.0,14.79,NI,1627806420.0
Cayenne,4.9333,-52.3333,76.08,89.0,40.0,1.14,GF,1627806421.0
Moratuwa,6.773,79.8816,86.02,73.0,100.0,14.09,LK,1627806421.0
Olinda,-8.0089,-34.8553,76.73,83.0,75.0,23.02,BR,1627806421.0
Hebi,35.8992,114.1925,87.24,58.0,1.0,10.69,CN,1627806421.0
Winslow,35.0242,-110.6974,71.96,66.0,1.0,5.75,US,1627806421.0
Bouca,6.5105,18.2733,72.57,93.0,100.0,0.43,CF,1627806421.0
Haines Junction,60.7522,-137.5108,57.15,58.0,15.0,4.61,CA,1627806421.0
Ciudad Bolivar,8.1222,-63.5497,74.77,91.0,97.0,4.92,VE,1627806421.0
Sangmélima,2.9333,11.9833,69.12,95.0,100.0,2.42,CM,1627806421.0
Vilyuysk,63.7553,121.6247,86.09,24.0,4.0,4.9,RU,1627806421.0
Berezovyy,51.6667,135.7,57.51,77.0,100.0,3.33,RU,1627806422.0
Palmer,42.1584,-72.3287,57.85,93.0,1.0,0.0,US,1627806422.0
Luanda,-8.8368,13.2343,72.99,76.0,62.0,1.74,AO,1627806422.0
Yamada,39.4667,141.95,74.19,97.0,99.0,2.91,JP,1627806422.0
Husavik,66.0449,-17.3389,53.51,65.0,98.0,4.41,IS,1627806422.0
Arrentela,38.6167,-9.1,69.39,77.0,20.0,8.05,PT,1627806422.0
Chiang Kham,19.5233,100.3,89.06,87.0,100.0,6.42,TH,1627806422.0
Amuntai,-2.4177,115.2494,89.06,56.0,90.0,1.43,ID,1627806423.0
Yankton,42.8711,-97.3973,65.12,94.0,1.0,8.05,US,1627806423.0
Indian Head,38.6001,-77.1622,72.36,88.0,90.0,0.0,US,1627806423.0
Sabancuy,18.9667,-91.1833,76.8,88.0,26.0,7.58,MX,1627806423.0
Joigny,47.9829,3.401,66.22,74.0,100.0,2.82,FR,1627806423.0
Zhaozhou,45.6833,125.3167,76.5,69.0,39.0,8.77,CN,1627806423.0
Camocim,-2.9022,-40.8411,74.39,81.0,92.0,11.05,BR,1627806423.0
Shiyan,32.6475,110.7781,103.37,30.0,0.0,3.56,CN,1627806423.0
Bluefields,12.0137,-83.7635,78.28,91.0,100.0,10.78,NI,1627806423.0
Bastrop,32.7562,-91.8724,80.28,92.0,6.0,6.6,US,1627806423.0
Masvingo,-20.0637,30.8277,64.69,46.0,0.0,6.42,ZW,1627806423.0
Punta Alta,-38.8759,-62.0736,41.49,71.0,0.0,5.95,AR,1627806423.0
El Tigre,8.8875,-64.2454,73.45,87.0,89.0,4.45,VE,1627806424.0
Avera,33.194,-82.5271,80.47,71.0,14.0,5.57,US,1627806424.0
Naze,28.3667,129.4833,83.32,84.0,83.0,14.07,JP,1627806424.0
Lorengau,-2.0226,147.2712,83.12,77.0,4.0,6.87,PG,1627806424.0
Kedrovyy,56.1667,91.8167,75.61,60.0,100.0,1.28,RU,1627806424.0
Ferkessédougou,9.6,-5.2,72.0,95.0,100.0,6.71,CI,1627806424.0
Oranjestad,12.524,-70.027,80.55,83.0,20.0,18.41,AW,1627806346.0
Tombouctou,20.0,-3.0,89.94,43.0,100.0,17.63,ML,1627806424.0
Chul'man,56.8479,124.9104,60.66,66.0,100.0,4.34,RU,1627806424.0
Kaeo,-35.1,173.7833,52.32,84.0,16.0,3.78,NZ,1627806424.0
Skovorodino,53.9833,123.9167,52.02,98.0,100.0,2.55,RU,1627806424.0
Maragogi,-9.0122,-35.2225,74.19,84.0,95.0,18.59,BR,1627806425.0
Moultrie,31.1799,-83.7891,77.11,94.0,1.0,0.0,US,1627806425.0
Mil'kovo,54.7167,158.6167,61.34,65.0,55.0,4.85,RU,1627806425.0
Taoudenni,22.6783,-3.9836,97.11,28.0,2.0,14.83,ML,1627806425.0
Thessalon,46.2501,-83.5666,61.29,93.0,93.0,7.29,CA,1627806425.0
East Wenatchee,47.4157,-120.2931,89.67,36.0,75.0,3.0,US,1627806425.0
Liloan,10.3991,123.9992,91.38,58.0,40.0,14.97,PH,1627806425.0
Washougal,45.5826,-122.3534,75.83,78.0,1.0,0.0,US,1627806425.0
Weinan,34.5036,109.5089,101.89,16.0,0.0,6.26,CN,1627806425.0
Saint-Pierre,-21.3393,55.4781,76.68,63.0,0.0,23.02,RE,1627806425.0
Artigas,-30.4,-56.4667,45.97,86.0,2.0,4.41,UY,1627806425.0
Bajil,15.0584,43.2851,89.98,57.0,55.0,3.24,YE,1627806426.0
Amlapura,-8.45,115.6167,81.48,73.0,90.0,13.33,ID,1627806426.0
Øksfjord,70.2396,22.3479,48.27,83.0,100.0,4.09,NO,1627806426.0
Zakamensk,50.3741,103.2863,64.69,84.0,100.0,4.97,RU,1627806165.0
Bull Savanna,17.8868,-77.5902,76.32,83.0,9.0,5.44,JM,1627806426.0
Teya,60.3778,92.6267,79.43,30.0,19.0,1.88,RU,1627806395.0
Lüderitz,-26.6481,15.1594,72.97,26.0,0.0,13.73,NA,1627806426.0
Liberal,37.0431,-100.921,70.83,83.0,90.0,11.5,US,1627806426.0
Keningau,5.3378,116.1602,86.45,69.0,96.0,4.54,MY,1627806426.0
Sirte,31.2089,16.5887,89.62,36.0,0.0,3.6,LY,1627806426.0
Whitehorse,60.7161,-135.0538,61.57,55.0,20.0,3.0,CA,1627806426.0
Icod de los Vinos,28.3724,-16.7119,74.66,61.0,18.0,16.64,ES,1627806427.0
Severo-Kuril'sk,50.6789,156.125,52.5,76.0,100.0,19.17,RU,1627806427.0
Swindon,51.558,-1.7812,62.85,80.0,90.0,1.01,GB,1627806427.0
Ancud,-41.8697,-73.8203,31.53,85.0,69.0,4.41,CL,1627806427.0
Port-Gentil,-0.7193,8.7815,78.76,78.0,75.0,6.91,GA,1627806427.0
Casablanca,33.5928,-7.6192,71.62,68.0,40.0,8.99,MA,1627806275.0
Tel'ma,52.6983,103.7097,74.41,48.0,100.0,2.93,RU,1627806427.0
Itoman,26.1247,127.6694,87.4,89.0,75.0,19.57,JP,1627806427.0
Atar,20.5169,-13.0499,85.15,49.0,58.0,7.38,MR,1627806427.0
Altagracia de Orituco,9.8601,-66.3814,70.2,96.0,91.0,0.83,VE,1627806427.0
Tevriz,57.509,72.4042,70.39,75.0,100.0,6.91,RU,1627806428.0
Sinnamary,5.3833,-52.95,77.04,86.0,77.0,5.99,GF,1627806428.0
St. George's,12.0564,-61.7485,79.97,83.0,17.0,13.89,GD,1627806428.0
Arlit,18.7369,7.3853,90.46,42.0,10.0,10.85,NE,1627806428.0
Pontes e Lacerda,-15.2261,-59.3353,61.16,46.0,3.0,2.26,BR,1627806428.0
Nome,64.5011,-165.4064,48.27,87.0,90.0,5.75,US,1627806428.0
Trairi,-3.2778,-39.2689,74.34,76.0,14.0,11.97,BR,1627806428.0
Kodinsk,58.6881,99.1844,62.56,75.0,100.0,5.37,RU,1627806300.0
Vila Verde,41.6473,-8.4372,65.95,61.0,23.0,1.1,PT,1627806428.0
Southbridge,42.0751,-72.0334,56.39,95.0,11.0,1.92,US,1627806429.0
Pleasanton,37.6624,-121.8747,64.99,80.0,1.0,6.91,US,1627806429.0
Plettenberg Bay,-34.0527,23.3716,62.26,61.0,45.0,7.0,ZA,1627806429.0
Anchorage,61.2181,-149.9003,57.97,85.0,1.0,0.0,US,1627806429.0
Raja,8.4596,25.678,73.17,89.0,100.0,3.42,SS,1627806429.0
Geraldton,-28.7667,114.6,63.01,55.0,75.0,20.71,AU,1627806429.0
Jaca,42.569,-0.5499,61.0,77.0,12.0,4.34,ES,1627806429.0
Makakilo City,21.3469,-158.0858,77.32,66.0,1.0,12.66,US,1627806429.0
Laguna,38.421,-121.4238,82.24,63.0,1.0,1.01,US,1627806429.0
Sibolga,1.7427,98.7792,78.73,87.0,100.0,3.8,ID,1627806430.0
Monterey,36.2505,-121.2516,55.17,1.0,0.0,3.02,US,1627806430.0
Goderich,43.7501,-81.7165,66.9,88.0,51.0,3.44,CA,1627806430.0
Bonanza,14.0289,-84.591,71.74,99.0,47.0,2.01,NI,1627806430.0
Vao,-22.6667,167.4833,67.89,58.0,80.0,21.03,NC,1627806430.0
Varhaug,58.6147,5.6457,59.49,73.0,57.0,23.17,NO,1627806430.0
Plainview,40.7765,-73.4673,69.26,82.0,1.0,0.0,US,1627806430.0
Banda Aceh,5.5577,95.3222,85.8,62.0,97.0,19.51,ID,1627806430.0
Roald,62.5833,6.1333,58.91,76.0,75.0,14.97,NO,1627806430.0
Tautira,-17.7333,-149.15,71.62,65.0,54.0,12.01,PF,1627806431.0
Morehead,37.2711,-87.1764,69.12,95.0,90.0,3.44,US,1627806431.0
Fuyang,32.9,115.8167,93.69,59.0,0.0,4.34,CN,1627806431.0
Tual,-5.6667,132.75,81.9,77.0,57.0,9.75,ID,1627806431.0
Sumbe,-11.2061,13.8437,73.99,74.0,74.0,5.79,AO,1627806431.0
Valparaíso,-33.0393,-71.6273,48.47,86.0,0.0,4.61,CL,1627806431.0
Jalu,29.0331,21.5482,95.31,12.0,0.0,5.1,LY,1627806431.0
Mollendo,-17.0231,-72.0147,59.32,88.0,99.0,7.85,PE,1627806431.0
Altay,47.8667,88.1167,80.31,27.0,32.0,11.41,CN,1627806431.0
Karatsu,33.4425,129.9697,89.98,79.0,80.0,5.14,JP,1627806431.0
Altar,30.7,-111.8167,89.58,45.0,31.0,5.48,MX,1627806431.0
Salalah,17.0151,54.0924,80.69,83.0,90.0,10.36,OM,1627806429.0
Talaya,61.3833,152.75,44.73,81.0,100.0,11.45,RU,1627806432.0
Boende,-0.2167,20.8667,88.74,46.0,16.0,2.57,CD,1627806432.0
Svecha,58.2785,47.5164,75.02,41.0,0.0,14.34,RU,1627806432.0
Talcahuano,-36.7167,-73.1167,40.68,87.0,0.0,8.05,CL,1627806432.0
Vila do Maio,15.1333,-23.2167,75.99,78.0,96.0,15.55,CV,1627806432.0
Beira,-19.8436,34.8389,73.49,73.0,20.0,6.91,MZ,1627806432.0
Uray,60.1247,64.7758,63.61,96.0,100.0,7.27,RU,1627806432.0
Galatas,37.4962,23.4489,103.6,44.0,0.0,9.08,GR,1627806432.0
Baykit,61.67,96.37,74.28,38.0,100.0,3.6,RU,1627806432.0
Hasaki,35.7333,140.8333,88.29,81.0,9.0,10.16,JP,1627806432.0
Yatou,37.15,122.3833,83.05,74.0,76.0,11.79,CN,1627806433.0
Manicoré,-5.8092,-61.3003,69.75,94.0,0.0,0.0,BR,1627806433.0
Ryōtsu-minato,38.0833,138.4333,82.36,78.0,18.0,4.07,JP,1627806433.0
Östersund,63.1792,14.6357,52.61,76.0,75.0,14.97,SE,1627806433.0
Yumen,40.2833,97.2,87.66,19.0,90.0,14.32,CN,1627806433.0
Karaton,-6.3424,106.1045,89.96,68.0,58.0,2.57,ID,1627806433.0
Rawson,-43.3002,-65.1023,44.33,55.0,87.0,17.09,AR,1627806433.0
Cam Ranh,11.9214,109.1591,96.76,49.0,40.0,11.5,VN,1627806433.0
Fairbanks,64.8378,-147.7164,68.34,62.0,1.0,8.05,US,1627806433.0
Jardim,-21.4803,-56.1381,61.48,53.0,99.0,5.17,BR,1627806433.0
Totness,5.8833,-56.3167,76.1,89.0,83.0,6.24,SR,1627806433.0
Purpe,64.4803,76.6897,68.18,42.0,94.0,9.84,RU,1627806434.0
Ust'-Koksa,50.2696,85.6108,75.02,33.0,72.0,3.83,RU,1627806434.0
Mawlaik,23.6333,94.4167,85.23,86.0,95.0,1.36,MM,1627806434.0
Sungai Penuh,-2.0833,101.3833,69.73,92.0,97.0,3.06,ID,1627806434.0
Cullen,57.6904,-2.8182,54.66,87.0,92.0,7.0,GB,1627806434.0
Barra de Tecoanapa,16.5167,-98.75,79.45,87.0,100.0,5.21,MX,1627806434.0
Broome,42.2506,-75.833,57.58,94.0,1.0,1.99,US,1627806434.0
Fandriana,-20.2333,47.3833,54.7,80.0,93.0,6.33,MG,1627806434.0
San Andrés,12.5847,-81.7006,81.86,78.0,79.0,22.48,CO,1627806434.0
Asău,46.4333,26.4,85.75,50.0,0.0,0.72,RO,1627806434.0
Patos,-7.0244,-37.28,72.61,67.0,98.0,13.06,BR,1627806434.0
Quevedo,-1.0333,-79.45,71.92,90.0,99.0,5.19,EC,1627806435.0
Hāgere Hiywet,8.9833,37.85,66.36,78.0,65.0,4.54,ET,1627806239.0
Chardara,41.2547,67.9692,93.36,18.0,98.0,5.61,KZ,1627806435.0
Yenagoa,4.9247,6.2642,80.44,74.0,100.0,5.77,NG,1627806435.0
Sitka,57.0531,-135.33,60.69,88.0,90.0,3.44,US,1627806435.0
Buta,2.7858,24.73,81.3,67.0,63.0,2.95,CD,1627806435.0
Porkhov,57.765,29.5561,75.09,54.0,51.0,9.53,RU,1627806435.0
Pitimbu,-7.4706,-34.8086,73.99,84.0,20.0,16.82,BR,1627806435.0
Kloulklubed,7.0419,134.2556,84.09,75.0,100.0,13.47,PW,1627806435.0
Keetmanshoop,-26.5833,18.1333,63.52,27.0,0.0,9.22,NA,1627806435.0
Bambanglipuro,-7.95,110.2833,80.78,73.0,58.0,16.08,ID,1627806436.0
Pottsville,40.6857,-76.1955,62.38,96.0,4.0,2.53,US,1627806436.0
Machaneng,-23.1862,27.4886,61.61,49.0,0.0,2.95,BW,1627806436.0
Abbeville,50.1,1.8333,64.49,78.0,41.0,12.15,FR,1627806280.0
Viranşehir,37.2353,39.7631,99.5,17.0,58.0,12.59,TR,1627806436.0
Gōtsuchō,35.0,132.2167,84.34,74.0,98.0,4.27,JP,1627806436.0
Jaciara,-15.9653,-54.9683,63.72,40.0,4.0,0.38,BR,1627806436.0
Karmāla,18.4167,75.2,85.01,54.0,100.0,23.91,IN,1627806436.0
Hernani,43.2662,-1.9762,68.92,78.0,75.0,3.0,ES,1627806436.0
Saldanha,-33.0117,17.9442,53.65,83.0,37.0,7.36,ZA,1627806436.0
Tevaitoa,-16.7833,-151.5,76.84,67.0,66.0,15.01,PF,1627806436.0
Benito Juarez,19.385,-99.165,59.0,83.0,75.0,0.0,MX,1627806437.0
Tondano,1.3038,124.9112,80.69,86.0,58.0,3.89,ID,1627806437.0
Ahipara,-35.1667,173.1667,52.11,85.0,0.0,5.46,NZ,1627806437.0
Coos Bay,43.3665,-124.2179,61.32,100.0,90.0,11.5,US,1627806437.0
Khilok,51.3674,110.4676,74.84,38.0,23.0,4.52,RU,1627806437.0
Gillette,44.2911,-105.5022,63.52,55.0,1.0,9.22,US,1627806437.0
Khanbari,27.3747,87.2039,83.12,77.0,64.0,4.59,NP,1627806437.0
São Filipe,14.8961,-24.4956,74.53,85.0,77.0,7.47,CV,1627806437.0
Masuguru,-11.3667,38.4167,81.37,40.0,56.0,8.08,TZ,1627806437.0
Tucumcari,35.1717,-103.725,69.64,78.0,75.0,12.66,US,1627806438.0
Kirkland Lake,48.1446,-80.0377,52.09,93.0,94.0,3.85,CA,1627806438.0
Cap Malheureux,-19.9842,57.6142,75.69,69.0,0.0,14.0,MU,1627806438.0
Ormara,25.2088,64.6357,82.38,82.0,100.0,19.24,PK,1627806438.0
Alice,27.7523,-98.0697,82.31,94.0,1.0,8.05,US,1627806225.0
Dumka,24.2667,87.25,90.39,60.0,100.0,6.58,IN,1627806438.0
Smolenka,52.1352,113.4974,69.87,52.0,20.0,2.24,RU,1627806438.0
Sur,22.5667,59.5289,98.58,42.0,91.0,2.42,OM,1627806438.0
San Patricio,28.017,-97.5169,84.07,80.0,4.0,9.06,US,1627806438.0
Hithadhoo,-0.6,73.0833,82.24,70.0,96.0,6.17,MV,1627806438.0
Wanning,18.8003,110.3967,91.89,62.0,100.0,12.75,CN,1627806438.0
Bilibino,68.0546,166.4372,45.0,50.0,95.0,15.61,RU,1627806438.0
Londonderry,54.9981,-7.3093,56.93,77.0,75.0,13.8,GB,1627806438.0
Sisimiut,66.9395,-53.6735,51.69,69.0,50.0,6.76,GL,1627806439.0
Sioni,41.9895,45.0239,77.36,47.0,49.0,5.88,GE,1627806439.0
Turukhansk,65.8167,87.9833,57.13,91.0,100.0,4.41,RU,1627806439.0
Grindavik,63.8424,-22.4338,54.55,100.0,90.0,4.61,IS,1627806439.0
Rolla,37.9514,-91.7713,69.15,90.0,75.0,3.0,US,1627806439.0
Nago,26.5881,127.9761,87.46,78.0,98.0,13.13,JP,1627806439.0
Chumikan,54.7183,135.315,57.4,66.0,87.0,7.4,RU,1627806439.0
Necochea,-38.5473,-58.7368,41.43,83.0,0.0,3.62,AR,1627806439.0
Sangar,63.9242,127.4739,84.15,29.0,0.0,6.91,RU,1627806439.0
Sørland,67.667,12.6934,48.63,72.0,74.0,11.27,NO,1627806439.0
Zaria,11.1113,7.7227,73.8,86.0,100.0,8.95,NG,1627806440.0
Zaraza,9.3503,-65.3245,71.74,97.0,100.0,1.86,VE,1627806440.0
Cervo,43.6702,-7.4101,65.19,70.0,100.0,6.4,ES,1627806440.0
Jinchang,38.4953,102.1739,91.08,18.0,83.0,17.58,CN,1627806440.0
Dubbo,-32.25,148.6167,55.53,76.0,90.0,11.5,AU,1627806440.0
Majene,-3.5403,118.9707,83.12,70.0,99.0,6.53,ID,1627806440.0
Inverell,-29.7833,151.1167,64.17,73.0,2.0,1.01,AU,1627806440.0
Zyryanka,65.75,150.85,41.43,94.0,100.0,20.83,RU,1627806440.0
Ouallam,14.3188,2.0866,82.47,62.0,25.0,14.05,NE,1627806440.0
Mayumba,-3.432,10.6554,76.55,73.0,38.0,3.22,GA,1627806440.0
Zacualpan,21.25,-105.1667,81.72,90.0,100.0,8.1,MX,1627806440.0
Taltal,-25.4,-70.4833,59.94,68.0,7.0,2.95,CL,1627806441.0
